Datetime,Tweet Id,Tweet,Username,Sentimen
2021-03-23 12:54:32+00:00,1374343809815879682,"@jaybamie Wkwk gua babget ulangan belajarnya pas mendekati tuh ulangan biar ga lupa, tapi kalo lagi daring kaga belajar samsek wkwkwk.  Semangattts yahhh",Markie_tut,1
2021-04-10 05:07:06+00:00,1380749154196934658,"Moots doain aku negatif cororong yaa, please aku gamau sekolah daring terus",pienanayaa,1
2021-03-28 16:16:38+00:00,1376206605524459521,@xuxiixjungjh Bsk daring? Atau kuliah atau kerja? Pokoknya semangat ya!,orangbenerkok,1
2021-03-18 02:47:24+00:00,1372379079517728773,"@trailerjhope @realmeindonesia done kak nora, bismillah cici mau menang GA karena HP yang ini udah 5 tahun ga ganti dan udah lemod parah😭😭 penyimpanan nya juga udah penuh, gabisa buat nyimpen materi pas daring😭🙏🙏 cici susah banget kalo belajar tiap harii bismillah ya allah

#8etter108MP 
#8etter108MP

725",jkmytime097,-1
2021-03-21 02:52:15+00:00,1373467460381249541,"@AREAJULID Adekku cowo kelas 2 smp. Tadinya gapunya hp. Gara gara sekolah daring jadi dikasih pegang hp -__- kerjaannya abis sekolah dari main game ml, bikin sketsa gambar kalo gk ya nonton anime. Masih bersyukur seenggaknya ga search yg aneh aneh di hpnya. Tp ya ttp aja ada rasa khawatir",sn_hakimah,1
2021-03-24 05:29:20+00:00,1374594156958412800,@BrennnUwu @trendingtopiq Alhamdulillah berarti rajin.. soalnya kuliah daring itu memaksa dan harus memicu motivasi diri sendiri,yrfavoritegirl,-1
2021-04-13 23:03:46+00:00,1382107272738869255,"Ga cuma kuliah yang daring, temen pun jg daring skrg.
Jgn sampe bukber virtual jugaa😂",zhrr00,1
2021-03-31 01:39:46+00:00,1377073102056611844,"2. Lebih sebulan #KuliahDaring , rasa bosan sudah hadir. Optimis setelah lebaran (2020) pandemi akan berakhir. Disiplin tinggi diterapkan. Sesekali lah main ke luar cari udara biar ga ngap...",lumejeng,1
2021-03-23 23:11:55+00:00,1374499178861129736,"Ngakak sih sama sistem pendidikan sekarang. UN dihapus sih memang tapi ujian akhirnya matpel malah banyak kali + muatan pelajarannya dari kelas 4,5,6. Gak kebayang yg belajar daring gimana. Belajar tatap muka 3 jam aja masih gak efisien. Duh~",rizkadirhan,-1
2021-04-06 10:23:05+00:00,1379379124402151427,"temen gue udah ada yang ujian sekolah daring soalnya dia lagi di jerman 😭 fyi dia satu sekolah ma gue, gila ga si, apa iya gue tnya apa kisi kisi ujian sekolah nya, apa iy ga ditabok gue",jaehyuksgirl,1
